technical_novelty_score_mean,similarity_std
2.3333,tensor(2.0197)
3.3333,tensor(1.7439)
3,tensor(1.6172)
2.3333,tensor(2.0481)
2.5,tensor(1.7889)
2.5,tensor(2.3167)
2.5,tensor(1.2232)
2.75,tensor(1.6629)
3,tensor(1.8670)
2.5,tensor(1.8263)
2,tensor(1.9442)
2.25,tensor(2.0898)
2.6667,tensor(2.1688)
2.2,tensor(1.6511)
2.3333,tensor(1.7638)
2.75,tensor(2.1380)
2.6667,tensor(1.4807)
2.5,tensor(2.0675)
2.5,tensor(1.8532)
2.75,tensor(2.0398)
2.5,tensor(1.6130)
2.3333,tensor(2.9866)
2.75,tensor(2.1669)
3.25,tensor(1.9872)
2.75,tensor(2.1641)
2.5,tensor(1.8519)
2,tensor(1.7755)
2.5,tensor(1.5434)
2.3333,tensor(1.8539)
2.75,tensor(1.4156)
2.25,tensor(1.9383)
1.5,tensor(1.3073)
2.5,tensor(1.7386)
2,tensor(2.1065)
2.25,tensor(2.3114)
2.75,tensor(1.3855)
2.25,tensor(2.2487)
2.5,tensor(1.7198)
2.5,tensor(1.6535)
2.25,tensor(1.5144)
2.75,tensor(1.6587)
2.75,tensor(1.8191)
2.25,tensor(1.7249)
2.25,tensor(1.1851)
3,tensor(1.9603)
2.5,tensor(1.5539)
2.6,tensor(1.6371)
2.25,tensor(1.7145)
2,tensor(2.0860)
2.25,tensor(1.6903)
2.25,tensor(1.6512)
2.3333,tensor(1.4549)
2.8333,tensor(1.6435)
2.75,tensor(0.9854)
1.5,tensor(1.9682)
2.3333,tensor(1.6843)
2.5,tensor(2.1048)
2,tensor(1.3287)
2.5,tensor(1.7600)
2.6,tensor(1.7503)
2.6667,tensor(1.7753)
1.3333,tensor(2.1361)
2.5,tensor(1.9534)
2.3333,tensor(1.2146)
2.6667,tensor(1.6741)
3,tensor(1.4961)
2.5,tensor(1.7932)
3.3333,tensor(1.7442)
3,tensor(1.8192)
1.75,tensor(1.8593)
2,tensor(1.7566)
2,tensor(1.7407)
2,tensor(1.7677)
2.5,tensor(1.7983)
2.25,tensor(1.1842)
2.75,tensor(nan)
3,tensor(1.4015)
2.2,tensor(1.8145)
2.5,tensor(1.9746)
1.5,tensor(1.7251)
2,tensor(1.4661)
2,tensor(1.9919)
1.5,tensor(1.5258)
2.5,tensor(1.6434)
2,tensor(1.7365)
1.8,tensor(1.4956)
2.25,tensor(1.5645)
2.75,tensor(1.6817)
2.5,tensor(2.0919)
2.5,tensor(1.7542)
2,tensor(1.1843)
2,tensor(1.5088)
2.75,tensor(1.6391)
2.25,tensor(1.5040)
3,tensor(1.7895)
2.4,tensor(nan)
2.3333,tensor(1.6563)
1.75,tensor(1.9152)
2.3333,tensor(1.7049)
2.6667,tensor(1.6419)
2,tensor(2.3393)
2.3333,tensor(1.5592)
2.6667,tensor(2.1576)
2.75,tensor(1.5286)
2.25,tensor(1.7912)
3.5,tensor(1.6716)
2.75,tensor(1.7387)
1.5,tensor(2.0638)
2.5,tensor(1.7096)
2.5,tensor(1.3642)
2.25,tensor(1.6245)
1.5,tensor(1.5759)
1.6667,tensor(1.5006)
2.4,tensor(1.6026)
2.6667,tensor(2.0483)
2.5,tensor(2.0085)
2.75,tensor(1.5573)
2.5,tensor(1.7445)
1.75,tensor(1.6190)
2.75,tensor(1.7727)
2.75,tensor(3.5732)
2.5,tensor(1.5437)
2.5,tensor(1.6447)
2,tensor(1.6892)
2,tensor(1.4671)
2.5,tensor(1.7944)
2.75,tensor(2.1168)
2.25,tensor(1.6163)
3,tensor(2.0314)
1.3333,tensor(0.9885)
2.5,tensor(1.7681)
2.75,tensor(1.8617)
2.5,tensor(1.7046)
3,tensor(1.3781)
2,tensor(1.2906)
2.4,tensor(1.5983)
2.25,tensor(1.3879)
2.3333,tensor(2.2812)
2,tensor(2.4364)
2.5,tensor(1.7707)
2,tensor(1.5072)
1.8,tensor(2.0458)
2.25,tensor(1.4757)
2.5,tensor(1.8051)
1.5,tensor(1.5912)
2.25,tensor(1.7553)
2,tensor(1.7763)
2.5,tensor(2.1861)
2.3333,tensor(1.8477)
2.25,tensor(2.2955)
2.5,tensor(1.9106)
2.25,tensor(2.2244)
2.5,tensor(1.6004)
2.5,tensor(2.0663)
2.6667,tensor(1.6285)
2,tensor(2.0897)
2,tensor(1.9335)
1.5,tensor(1.3397)
2.25,tensor(2.0700)
1.6667,tensor(1.7416)
2.5,tensor(1.5949)
2,tensor(2.1460)
2.25,tensor(1.1223)
2,tensor(1.4776)
1.75,tensor(1.7615)
2.75,tensor(1.6546)
2.25,tensor(1.7065)
2,tensor(1.8612)
2.5,tensor(1.8583)
3,tensor(1.6272)
2.8,tensor(1.6463)
3.25,tensor(2.3394)
2,tensor(1.6802)
2.3333,tensor(1.8013)
2.6,tensor(1.6447)
2.25,tensor(1.7894)
2.5,tensor(2.0252)
1.75,tensor(1.4624)
2.75,tensor(1.9910)
1.6667,tensor(0.9232)
2.3333,tensor(1.7647)
2.5,tensor(1.3996)
1,tensor(1.7825)
3,tensor(1.2993)
2.25,tensor(1.6245)
2.2,tensor(1.3249)
2.75,tensor(1.0379)
2,tensor(1.6029)
2.75,tensor(1.9861)
2,tensor(2.1208)
2.6667,tensor(1.8454)
3.25,tensor(1.5676)
2.5,tensor(1.9341)
2.6,tensor(1.9945)
2,tensor(1.4118)
3,tensor(2.1187)
2.8,tensor(1.8623)
2.75,tensor(1.7828)
2.75,tensor(1.5826)
2.75,tensor(1.1659)
3.25,tensor(1.8422)
2.5,tensor(1.7084)
1.5,tensor(1.5080)
3,tensor(2.0936)
2.75,tensor(1.8019)
2.5,tensor(1.6110)
2.75,tensor(1.8698)
2.25,tensor(1.6479)
3.3333,tensor(1.4304)
2,tensor(1.3249)
2.25,tensor(1.4996)
2.5,tensor(1.6993)
2.3333,tensor(1.7866)
2.25,tensor(1.8758)
2.5,tensor(1.9282)
2.5,tensor(1.5371)
2,tensor(1.0154)
2.25,tensor(2.0524)
2.75,tensor(2.1038)
2.6667,tensor(1.8525)
2.75,tensor(1.2550)
2.3333,tensor(1.6042)
3,tensor(1.2932)
1,tensor(1.3103)
2.6667,tensor(nan)
1.25,tensor(1.7100)
2,tensor(2.0229)
2.3333,tensor(2.0934)
2.25,tensor(1.5597)
1.75,tensor(2.6872)
2.25,tensor(1.6789)
2.25,tensor(1.7496)
1.75,tensor(2.5630)
2.7143,tensor(2.0911)
2.6667,tensor(1.6653)
2,tensor(1.4114)
2.5,tensor(1.5973)
2.75,tensor(1.6594)
2.5,tensor(1.2859)
2,tensor(1.7127)
2.75,tensor(2.0053)
2.5,tensor(1.7593)
2.6,tensor(1.5323)
2.75,tensor(2.0881)
2,tensor(1.8986)
2.4286,tensor(2.0431)
2.6,tensor(1.8387)
2,tensor(1.7855)
2.6667,tensor(1.6472)
2.2,tensor(2.6253)
2.75,tensor(2.0212)
2.2,tensor(1.5336)
2.5,tensor(1.9390)
2.4,tensor(1.5538)
3.5,tensor(2.2232)
2,tensor(1.6217)
2.25,tensor(1.6853)
2.5,tensor(1.7425)
2.25,tensor(1.4299)
2,tensor(1.7504)
2,tensor(1.9116)
2.75,tensor(1.4487)
2.6,tensor(2.3182)
